"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"LABA66",1,863,165.842410196987,32.3586443656389,162,163.820549927641,29.652,83,300,217,0.758297944914196,1.20993016026501,1.10150106429761
"LABA68",2,863,49.2549246813441,11.7515816465281,48,48.5672937771346,11.8608,23,112,89,0.671074262067104,0.931893096596964,0.400028491446213
"LABA70",3,863,90.2572421784473,7.9745020163518,90,89.8437047756874,7.413,56,155,99,1.23539907995237,7.7342771199886,0.271455205570431
"LABA71",4,863,99.0706836616454,25.8911403092993,96,97.0998552821997,20.7564,42,302,260,1.41057040790976,5.85894264707597,0.881344665874075
"LABA72",5,863,5.21738122827346,0.341212662007873,5.2,5.210998552822,0.29652,4.1,8.6,4.5,1.59278464472406,13.4231338977906,0.0116150140935014
"LABA74",6,863,23.7821552723059,18.0486274452657,18,20.1866859623734,8.8956,5,154,149,2.86912722879747,11.0024268138079,0.614382423300221
"LABA75",7,863,22.9698725376593,19.3813606933858,20,20.4891461649783,5.9304,8,408,400,13.5955293134261,240.420450234656,0.659749190666657
"LABA76",8,863,0.8162224797219,0.291711258894822,0.78,0.799146164978292,0.177912,0.47,7.69,7.22,15.3662823670789,355.337777717096,0.00992996673499238
"LABA91",9,863,2.71684820393975,4.50695737328791,1.16,1.7151519536903,1.26021,0.1,46.71,46.61,4.27956968953152,25.36914546258,0.153418613194199
"LABA101",10,863,0.704020857473928,0.110428125014235,0.69,0.698379160636758,0.103782,0.41,1.22,0.81,0.619583514481386,0.900237888502371,0.00375901709160392
"LABA103",11,863,81.9594438006953,72.4766990361079,61,71.1128798842258,53.3736,7,871,864,2.9113615561509,19.6147376211221,2.46713552715528
"LABA67",12,863,89.0177588644264,51.3404060359664,75,80.8259185238784,35.5824,20,384,364,1.89799913784445,4.93132291579401,1.74764774602671
"LABA69",13,863,98.7874099884125,28.3522768793163,96,96.8940979450072,25.959110268,32,236,204,0.881526865011156,1.76109510309885,0.965122729028483
"INSULIN_FAST",14,863,12.359108010815,9.86644694963747,9.60394,10.7151685576459,5.959696176,0.55948,114,113.44052,3.0497864372536,17.8808127480817,0.335857760079778
"HOMA_IR",15,863,2.82053100187403,2.48801372279585,2.13662551440329,2.3885305656858,1.39352197530864,0.121566024691358,27.5851851851852,27.4636191604938,3.58118715121387,22.2944998744874,0.084692972075086
"HBA1C_SI",16,863,33.4913093858633,3.82379969496123,33,33.3820549927641,4.4478,21,70,49,1.51815369203494,11.5096349870567,0.130163655376529
"BMI",17,863,27.082446056501,6.33096647805566,25.8199103997811,26.4296103443861,5.96693507474234,15.1407541322314,54.0888888888889,38.9481347566575,1.03890765856878,1.22146251414524,0.215508605206463
"WAIST_HIP",18,863,0.875449187978262,0.0739422532982482,0.871794871794872,0.873023376415502,0.0687732867132861,0.52,1.23170731707317,0.71170731707317,0.558082835006099,2.20918035293849,0.00251702357441994
"ALCOHOL_USE",19,863,2.4449594438007,0.747102347946306,3,2.55571635311143,0,1,3,2,-0.928893746236072,-0.6137033476361,0.0254316596858415
"CIGARETTE_USE",20,863,1.38238702201622,0.742957876924891,1,1.22865412445731,0,1,3,2,1.55943810481294,0.627848724973976,0.0252905802515656
"SBPA5",21,863,110.610660486674,11.2442396659507,110,110.227206946454,11.8608,82,150,68,0.326182329228998,-0.0756545192019433,0.382758369581581
"SBPA6",22,863,65.5550405561993,8.37748720373247,65,65.1997105643994,7.413,43,100,57,0.502891943940955,0.685787717385681,0.285172980882036
